RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE
53340422,20230607,F,50대,인천광역시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53340534,20230607,F,50대,경기도,500이상700만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53340551,20230607,F,40대,경상남도,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53340732,20230607,M,60대,경상북도,300이상500만원 미만,스트레스 해소를 위해,남는 시간을 보내기 위해
53340925,20230607,F,60대,서울특별시,300만원 미만,건강 관리를 위해,자기 계발을 위해
53341103,20230607,M,30대,경상남도,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53341473,20230607,M,50대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,건강 관리를 위해
53341547,20230607,M,20대,대구광역시,700만원 이상,스트레스 해소를 위해,자기만족-즐거움을 위해
53341553,20230607,M,40대,경기도,500이상700만원 미만,자기만족-즐거움을 위해,자기 계발을 위해
53341558,20230607,F,40대,대구광역시,700만원 이상,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해
53341729,20230607,F,60대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53341739,20230607,F,60대,서울특별시,500이상700만원 미만,자기 계발을 위해,마음의 안정-휴식을 위해
53341790,20230607,M,60대,충청남도,700만원 이상,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
53341801,20230607,M,40대,전라남도,300만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53341860,20230607,M,60대,경기도,300만원 미만,남는 시간을 보내기 위해,스트레스 해소를 위해
53341862,20230607,M,30대,경기도,300이상500만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해
53342367,20230607,F,20대,경상남도,무응답,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53342613,20230607,F,60대,대구광역시,300만원 미만,남는 시간을 보내기 위해,없음
53342649,20230607,F,40대,대전광역시,500이상700만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해
53342675,20230607,F,30대,대구광역시,300이상500만원 미만,자기만족-즐거움을 위해,건강 관리를 위해
53342827,20230607,M,50대,부산광역시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53342840,20230607,F,50대,충청남도,300이상500만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53343066,20230607,M,50대,경기도,500이상700만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해
53343471,20230607,M,20대,서울특별시,무응답,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53343513,20230607,M,50대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,건강 관리를 위해
53343614,20230607,F,40대,인천광역시,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53343652,20230607,F,20대,서울특별시,300만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해
53343684,20230607,M,20대,서울특별시,300이상500만원 미만,대인 관계-교제를 위해,스트레스 해소를 위해
53343762,20230607,F,40대,인천광역시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53343828,20230607,M,20대,충청남도,무응답,대인 관계-교제를 위해,자기만족-즐거움을 위해
53343857,20230607,M,30대,경기도,700만원 이상,자기 계발을 위해,가족-지인 등과 시간을 보내기 위해
53343888,20230607,F,60대,경기도,300이상500만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
53343903,20230607,M,50대,서울특별시,300만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53343932,20230607,F,50대,경상북도,700만원 이상,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해
53344107,20230607,M,20대,부산광역시,무응답,대인 관계-교제를 위해,스트레스 해소를 위해
53344219,20230607,F,30대,광주광역시,300만원 미만,마음의 안정-휴식을 위해,건강 관리를 위해
53344318,20230607,F,60대,충청남도,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53344491,20230607,M,40대,대전광역시,700만원 이상,마음의 안정-휴식을 위해,스트레스 해소를 위해
53344726,20230607,M,50대,부산광역시,300이상500만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53344825,20230607,M,20대,서울특별시,300이상500만원 미만,대인 관계-교제를 위해,없음
53344917,20230607,F,50대,경기도,300만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53344969,20230607,F,20대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
53344970,20230607,M,60대,부산광역시,300만원 미만,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해
53345023,20230607,F,20대,경기도,300이상500만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53345222,20230607,M,40대,경기도,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53345355,20230607,M,50대,경상북도,300이상500만원 미만,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해
53345407,20230607,M,20대,경기도,300이상500만원 미만,건강 관리를 위해,스트레스 해소를 위해
53345448,20230607,M,20대,강원도,무응답,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53345535,20230607,M,60대,광주광역시,700만원 이상,건강 관리를 위해,스트레스 해소를 위해
53345692,20230607,M,40대,충청북도,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53345745,20230607,F,40대,인천광역시,300이상500만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해
53345746,20230607,M,50대,서울특별시,500이상700만원 미만,자기만족-즐거움을 위해,건강 관리를 위해
53345917,20230607,M,50대,충청남도,300이상500만원 미만,건강 관리를 위해,스트레스 해소를 위해
