"시도별","경제활동별",2021 p),2021 p),2021 p)
"시도별","경제활동별",명목,실질,실질기여도
"세종특별자치시","　　비금속광물 및 금속제품 제조업",388151,382250,0.16
"세종특별자치시","　　전기 전자 및 정밀기기 제조업",1036905,1138260,0.76
"세종특별자치시","　　기계 운송장비 및 기타 제품 제조업",152095,167650,0.11
"세종특별자치시","전기, 가스, 증기 및 공기 조절 공급업",131570,231355,0.04
"세종특별자치시","건설업",1253156,1001605,-0.86
"세종특별자치시","서비스업",8422385,7363489,5.97
"세종특별자치시","　도매 및 소매업",279637,278294,0.12
"세종특별자치시","　운수 및 창고업",130579,127421,0.08
"세종특별자치시","　숙박 및 음식점업",170883,148963,0.13
"세종특별자치시","　정보통신업",101535,90911,0.07
"세종특별자치시","　금융 및 보험업",527836,516705,0.39
"세종특별자치시","　부동산업",1089751,910540,0.39
"세종특별자치시","　사업서비스업",685950,573048,0.41
"세종특별자치시","　공공 행정, 국방 및 사회보장 행정",3924321,3356186,2.88
"세종특별자치시","　교육 서비스업",871067,795421,0.54
"세종특별자치시","　보건업 및 사회복지 서비스업",413883,384116,0.74
"세종특별자치시","　문화 및 기타서비스업",226943,186897,0.23
"경기도","지역내총생산(시장가격)",527046766,496672331,5.67
"경기도","순생산물세",39376204,34101007,0.22
"경기도","총부가가치(기초가격)",487670562,462701927,5.45
"경기도","농업, 임업 및 어업",3562807,3120613,0.00
"경기도","광제조업",179125558,186393951,2.87
"경기도","　광업",330031,330462,0.01
"경기도","　제조업",178795527,186069819,2.86
"경기도","　　음식료품 및 담배제조업",6289582,5674911,0.03
"경기도","　　섬유 의복 및 가죽 제품 제조업",3114947,2877178,-0.01
"경기도","　　목재종이인쇄 및 복제업",5898201,5254361,0.02
"경기도","　　석탄 및 석유 화학제품 제조업",21262727,19987217,0.21
"경기도","　　비금속광물 및 금속제품 제조업",20587972,16690072,0.11
"경기도","　　전기 전자 및 정밀기기 제조업",94039502,106156363,2.16
"경기도","　　기계 운송장비 및 기타 제품 제조업",27602596,29482441,0.35
"경기도","전기, 가스, 증기 및 공기 조절 공급업",4191361,7574105,0.09
"경기도","건설업",31851068,25556918,0.00
"경기도","서비스업",268939768,241811374,2.49
"경기도","　도매 및 소매업",29581528,29479943,0.27
"경기도","　운수 및 창고업",11211985,10704029,0.09
"경기도","　숙박 및 음식점업",8800306,7685696,0.01
"경기도","　정보통신업",23631402,20723012,0.40
"경기도","　금융 및 보험업",18492072,18135365,0.22
"경기도","　부동산업",39425906,36837505,0.23
"경기도","　사업서비스업",57313407,47566090,0.44
"경기도","　공공 행정, 국방 및 사회보장 행정",24230741,20689296,0.25
"경기도","　교육 서비스업",21166806,19301878,0.19
"경기도","　보건업 및 사회복지 서비스업",21820243,20176230,0.30
"경기도","　문화 및 기타서비스업",13265372,10864620,0.10
"강원도","지역내총생산(시장가격)",50659583,46476220,3.67
"강원도","순생산물세",3927239,3361910,0.06
"강원도","총부가가치(기초가격)",46732344,43110308,3.61
"강원도","농업, 임업 및 어업",2419215,2158210,0.11
"강원도","광제조업",5175943,5232351,0.22
"강원도","　광업",673429,700192,0.00
"강원도","　제조업",4502514,4540237,0.22
"강원도","　　음식료품 및 담배제조업",1135331,1045043,0.08
"강원도","　　섬유 의복 및 가죽 제품 제조업",35741,32661,-0.05
"강원도","　　목재종이인쇄 및 복제업",94428,83876,-0.03
"강원도","　　석탄 및 석유 화학제품 제조업",680515,681420,0.06
"강원도","　　비금속광물 및 금속제품 제조업",1320953,1320715,-0.01
"강원도","　　전기 전자 및 정밀기기 제조업",620092,698102,0.09
"강원도","　　기계 운송장비 및 기타 제품 제조업",615454,653756,0.08
"강원도","전기, 가스, 증기 및 공기 조절 공급업",592301,1171904,0.19
"강원도","건설업",4548375,3628775,0.00
"강원도","서비스업",33996510,30858663,3.09
"강원도","　도매 및 소매업",1941124,1931121,0.02
"강원도","　운수 및 창고업",1611699,1548908,0.12
"강원도","　숙박 및 음식점업",1718617,1576008,0.08
"강원도","　정보통신업",1025604,1088408,0.13
"강원도","　금융 및 보험업",2068054,2031593,0.23
"강원도","　부동산업",2666192,2549246,0.11
"강원도","　사업서비스업",2408128,2057184,0.18
"강원도","　공공 행정, 국방 및 사회보장 행정",11955803,10284894,1.44
"강원도","　교육 서비스업",3817329,3479982,0.21
"강원도","　보건업 및 사회복지 서비스업",2747079,2516030,0.22
"강원도","　문화 및 기타서비스업",2036881,1767601,0.37
"충청북도","지역내총생산(시장가격)",74766578,70139551,6.39
"충청북도","순생산물세",5513356,4777864,-0.23
"충청북도","총부가가치(기초가격)",69253222,65389350,6.62
"충청북도","농업, 임업 및 어업",2071930,1761939,0.10
"충청북도","광제조업",33997980,33883004,5.14
