SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
34591,2023-06,1114,은행나무길 축제,은행나무길축제,46,문화축제
34592,2023-06,781,음성품바축제,음성품바축제,1480,문화축제
34593,2023-06,494,의왕철도축제,의왕철도축제,140,문화축제
34594,2023-06,73,의정부음악극축제,의정부음악극축제,9050,문화축제
34595,2023-06,214,의좋은형제축제,의좋은형제축제,50,문화축제
34596,2023-06,402,이천도자기축제,이천도자기축제,3810,문화축제
34597,2023-06,407,이천백사산수유꽃축제,이천백사산수유꽃축제,90,문화축제
34598,2023-06,401,이천쌀문화축제,이천쌀문화축제,610,문화축제
34599,2023-06,404,이천인삼축제,이천인삼축제,50,문화축제
34600,2023-06,869,이호테우축제,이호테우축제,320,문화축제
34601,2023-06,591,익산서동축제,익산서동축제,1860,문화축제
34602,2023-06,687,인삼골축제,인삼골축제,40,문화축제
34603,2023-06,872,인제빙어축제,인제빙어축제,380,문화축제
34604,2023-06,1069,인천개항장문화재야행,인천개항장문화재야행,1640,문화축제
34605,2023-06,1073,인천상륙작전 월미축제,인천상륙작전월미축제,13,문화축제
34606,2023-06,109,임실N치즈축제,임실N치즈축제,690,문화축제
34607,2023-06,160,임자도 민어 축제,임자도민어축제,30,문화축제
34608,2023-06,165,입장거봉포도축제,입장거봉포도축제,100,문화축제
