LCLAS_NM,MLSFC_NM,SIGNGU_NM,AREA_POPLTN_STDIZ_FCLTY_SCORE
문화예술,전시시설,전라남도 장흥군,67.17862
문화예술,전시시설,전라남도 강진군,87.27228
문화예술,전시시설,전라남도 해남군,52.28662
문화예술,전시시설,전라남도 영암군,79.26194
문화예술,전시시설,전라남도 무안군,52.99146
문화예술,전시시설,전라남도 함평군,67.59834
문화예술,전시시설,전라남도 영광군,50.4283
문화예술,전시시설,전라남도 장성군,49.55639
문화예술,전시시설,전라남도 완도군,71.92502
문화예술,전시시설,전라남도 진도군,96.59884
문화예술,전시시설,전라남도 신안군,100
문화예술,전시시설,경상북도 포항시,30.34955
문화예술,전시시설,경상북도 경주시,35.84188
문화예술,전시시설,경상북도 김천시,40.11204
문화예술,전시시설,경상북도 안동시,51.60601
문화예술,전시시설,경상북도 구미시,30.22118
문화예술,전시시설,경상북도 영주시,37.38317
문화예술,전시시설,경상북도 영천시,35.18264
문화예술,전시시설,경상북도 상주시,51.07371
문화예술,전시시설,경상북도 문경시,54.38678
문화예술,전시시설,경상북도 경산시,28.8375
문화예술,전시시설,경상북도 군위군,55.6821
문화예술,전시시설,경상북도 의성군,48.57647
문화예술,전시시설,경상북도 청송군,64.62575
문화예술,전시시설,경상북도 영양군,71.15916
문화예술,전시시설,경상북도 영덕군,57.32713
문화예술,전시시설,경상북도 청도군,44.9725
문화예술,전시시설,경상북도 고령군,50.41721
문화예술,전시시설,경상북도 성주군,43.81986
문화예술,전시시설,경상북도 칠곡군,45.09782
문화예술,전시시설,경상북도 예천군,57.95883
문화예술,전시시설,경상북도 봉화군,69.18549
문화예술,전시시설,경상북도 울진군,55.21886
문화예술,전시시설,경상북도 울릉군,78.02975
문화예술,전시시설,경상남도 창원시,25.06409
문화예술,전시시설,경상남도 진주시,41.53179
문화예술,전시시설,경상남도 통영시,42.49677
문화예술,전시시설,경상남도 사천시,47.20323
문화예술,전시시설,경상남도 김해시,26.9195
문화예술,전시시설,경상남도 밀양시,43.83809
문화예술,전시시설,경상남도 거제시,28.80696
문화예술,전시시설,경상남도 양산시,24.91833
문화예술,전시시설,경상남도 의령군,67.76554
문화예술,전시시설,경상남도 함안군,45.21889
문화예술,전시시설,경상남도 창녕군,58.62166
문화예술,전시시설,경상남도 고성군,60.63243
문화예술,전시시설,경상남도 남해군,74.9659
문화예술,전시시설,경상남도 하동군,63.48978
문화예술,전시시설,경상남도 산청군,68.6606
문화예술,전시시설,경상남도 함양군,55.81511
문화예술,전시시설,경상남도 거창군,54.1552
문화예술,전시시설,경상남도 합천군,85.36831
문화예술,전시시설,제주특별자치도 제주시,41.11001
문화예술,전시시설,제주특별자치도 서귀포시,64.202
문화예술,지역문화시설,서울특별시 종로구,18.0814
문화예술,지역문화시설,서울특별시 중구,7.46126
문화예술,지역문화시설,서울특별시 용산구,0.64639
문화예술,지역문화시설,서울특별시 성동구,0.47988
문화예술,지역문화시설,서울특별시 광진구,0.89341
문화예술,지역문화시설,서울특별시 동대문구,0.2874
문화예술,지역문화시설,서울특별시 중랑구,0.92574
문화예술,지역문화시설,서울특별시 성북구,2.30534
문화예술,지역문화시설,서울특별시 강북구,1.65924
문화예술,지역문화시설,서울특별시 도봉구,4.25391
문화예술,지역문화시설,서울특별시 노원구,1.68064
문화예술,지역문화시설,서울특별시 은평구,1.66215
문화예술,지역문화시설,서울특별시 서대문구,2.47216
문화예술,지역문화시설,서울특별시 마포구,0.38175
문화예술,지역문화시설,서울특별시 양천구,1.28307
문화예술,지역문화시설,서울특별시 강서구,0.96212
문화예술,지역문화시설,서울특별시 구로구,0.65807
문화예술,지역문화시설,서울특별시 금천구,3.41501
문화예술,지역문화시설,서울특별시 영등포구,0
문화예술,지역문화시설,서울특별시 동작구,0.52231
문화예술,지역문화시설,서울특별시 관악구,0.52057
문화예술,지역문화시설,서울특별시 서초구,0.40807
문화예술,지역문화시설,서울특별시 강남구,0.67607
문화예술,지역문화시설,서울특별시 송파구,0.20009
문화예술,지역문화시설,서울특별시 강동구,0.36499
문화예술,지역문화시설,부산광역시 중구,15.16857
문화예술,지역문화시설,부산광역시 서구,4.8362
문화예술,지역문화시설,부산광역시 동구,7.62052
문화예술,지역문화시설,부산광역시 영도구,2.38128
문화예술,지역문화시설,부산광역시 부산진구,1.23551
문화예술,지역문화시설,부산광역시 동래구,3.24564
문화예술,지역문화시설,부산광역시 남구,1.62655
문화예술,지역문화시설,부산광역시 북구,1.97053
문화예술,지역문화시설,부산광역시 해운대구,0.70399
문화예술,지역문화시설,부산광역시 사하구,1.57421
문화예술,지역문화시설,부산광역시 금정구,3.04035
문화예술,지역문화시설,부산광역시 강서구,4.03656
문화예술,지역문화시설,부산광역시 연제구,0.3957
문화예술,지역문화시설,부산광역시 수영구,1.87212
문화예술,지역문화시설,부산광역시 사상구,2.00922
문화예술,지역문화시설,부산광역시 기장군,3.64536
문화예술,지역문화시설,대구광역시 중구,32.96138
문화예술,지역문화시설,대구광역시 동구,4.75819
문화예술,지역문화시설,대구광역시 서구,5.78643
문화예술,지역문화시설,대구광역시 남구,6.42843
문화예술,지역문화시설,대구광역시 북구,2.77847
문화예술,지역문화시설,대구광역시 수성구,1.17597
문화예술,지역문화시설,대구광역시 달서구,1.10511
문화예술,지역문화시설,대구광역시 달성군,7.49074
문화예술,지역문화시설,인천광역시 중구,12.03263
문화예술,지역문화시설,인천광역시 동구,7.64493
문화예술,지역문화시설,인천광역시 미추홀구,3.64457
문화예술,지역문화시설,인천광역시 연수구,2.30976
문화예술,지역문화시설,인천광역시 남동구,4.9182
문화예술,지역문화시설,인천광역시 부평구,3.62474
문화예술,지역문화시설,인천광역시 계양구,6.41275
문화예술,지역문화시설,인천광역시 서구,4.16602
문화예술,지역문화시설,인천광역시 강화군,9.18948
문화예술,지역문화시설,인천광역시 옹진군,8.5596
문화예술,지역문화시설,광주광역시 동구,11.40056
문화예술,지역문화시설,광주광역시 서구,4.30423
문화예술,지역문화시설,광주광역시 남구,7.87823
문화예술,지역문화시설,광주광역시 북구,2.83987
문화예술,지역문화시설,광주광역시 광산구,4.22591
문화예술,지역문화시설,대전광역시 동구,7.00426
문화예술,지역문화시설,대전광역시 중구,6.18752
문화예술,지역문화시설,대전광역시 서구,2.77589
문화예술,지역문화시설,대전광역시 유성구,3.31476
문화예술,지역문화시설,대전광역시 대덕구,9.53598
문화예술,지역문화시설,울산광역시 중구,4.11291
문화예술,지역문화시설,울산광역시 남구,1.2257
문화예술,지역문화시설,울산광역시 동구,4.81567
문화예술,지역문화시설,울산광역시 북구,2.90492
문화예술,지역문화시설,울산광역시 울주군,11.58256
문화예술,지역문화시설,세종특별자치시 세종특별자치시,3.51154
문화예술,지역문화시설,경기도 수원시,1.99713
문화예술,지역문화시설,경기도 성남시,1.43116
문화예술,지역문화시설,경기도 의정부시,6.74152
문화예술,지역문화시설,경기도 안양시,2.9302
문화예술,지역문화시설,경기도 부천시,3.83703
문화예술,지역문화시설,경기도 광명시,3.72164
문화예술,지역문화시설,경기도 평택시,3.55587
문화예술,지역문화시설,경기도 동두천시,19.70719
문화예술,지역문화시설,경기도 안산시,7.2995
문화예술,지역문화시설,경기도 고양시,6.22239
문화예술,지역문화시설,경기도 과천시,4.37009
문화예술,지역문화시설,경기도 구리시,6.64618
문화예술,지역문화시설,경기도 남양주시,6.11151
문화예술,지역문화시설,경기도 오산시,3.94787
문화예술,지역문화시설,경기도 시흥시,5.15595
문화예술,지역문화시설,경기도 군포시,4.60555
문화예술,지역문화시설,경기도 의왕시,4.48424
문화예술,지역문화시설,경기도 하남시,1.47907
문화예술,지역문화시설,경기도 용인시,3.85959
문화예술,지역문화시설,경기도 파주시,1.48412
문화예술,지역문화시설,경기도 이천시,7.63108
문화예술,지역문화시설,경기도 안성시,15.35848
문화예술,지역문화시설,경기도 김포시,1.63547
문화예술,지역문화시설,경기도 화성시,2.95912
문화예술,지역문화시설,경기도 광주시,3.41229
문화예술,지역문화시설,경기도 양주시,20.72527
문화예술,지역문화시설,경기도 포천시,25.22969
문화예술,지역문화시설,경기도 여주시,16.76379
