LCLAS_NM,MLSFC_NM,SIGNGU_NM,AREA_ARBY_STDIZ_FCLTY_SCORE
문화예술,전시시설,충청북도 단양군,0.21825
문화예술,전시시설,충청남도 천안시,5.54443
문화예술,전시시설,충청남도 공주시,1.25257
문화예술,전시시설,충청남도 보령시,1.80885
문화예술,전시시설,충청남도 아산시,4.32756
문화예술,전시시설,충청남도 서산시,1.71391
문화예술,전시시설,충청남도 논산시,1.96664
문화예술,전시시설,충청남도 계룡시,3.76395
문화예술,전시시설,충청남도 당진시,1.55689
문화예술,전시시설,충청남도 금산군,0.96326
문화예술,전시시설,충청남도 부여군,1.31193
문화예술,전시시설,충청남도 서천군,1.86844
문화예술,전시시설,충청남도 청양군,0.75859
문화예술,전시시설,충청남도 홍성군,1.82071
문화예술,전시시설,충청남도 예산군,1.52078
문화예술,전시시설,충청남도 태안군,0.49949
문화예술,전시시설,전라북도 전주시,24.32349
문화예술,전시시설,전라북도 군산시,4.69479
문화예술,전시시설,전라북도 익산시,4.38276
문화예술,전시시설,전라북도 정읍시,1.81363
문화예술,전시시설,전라북도 남원시,1.32421
문화예술,전시시설,전라북도 김제시,1.64071
문화예술,전시시설,전라북도 완주군,1.15169
문화예술,전시시설,전라북도 진안군,0.55332
문화예술,전시시설,전라북도 무주군,0.46826
문화예술,전시시설,전라북도 장수군,0.58807
문화예술,전시시설,전라북도 임실군,0.71355
문화예술,전시시설,전라북도 순창군,0.89601
문화예술,전시시설,전라북도 고창군,1.00557
문화예술,전시시설,전라북도 부안군,1.37071
문화예술,전시시설,전라남도 목포시,16.87988
문화예술,전시시설,전라남도 여수시,2.00847
문화예술,전시시설,전라남도 순천시,2.77811
문화예술,전시시설,전라남도 나주시,1.69183
문화예술,전시시설,전라남도 광양시,2.27025
문화예술,전시시설,전라남도 담양군,1.08418
문화예술,전시시설,전라남도 곡성군,0.54927
문화예술,전시시설,전라남도 구례군,0.64284
문화예술,전시시설,전라남도 고흥군,0.46267
문화예술,전시시설,전라남도 보성군,0.63777
문화예술,전시시설,전라남도 화순군,0.80619
문화예술,전시시설,전라남도 장흥군,0.61042
문화예술,전시시설,전라남도 강진군,0.86331
문화예술,전시시설,전라남도 해남군,0.55734
문화예술,전시시설,전라남도 영암군,1.13234
문화예술,전시시설,전라남도 무안군,1.80333
문화예술,전시시설,전라남도 함평군,0.83487
문화예술,전시시설,전라남도 영광군,0.83576
문화예술,전시시설,전라남도 장성군,0.71912
문화예술,전시시설,전라남도 완도군,0.51589
문화예술,전시시설,전라남도 진도군,0.44892
문화예술,전시시설,전라남도 신안군,0.55707
문화예술,전시시설,경상북도 포항시,2.44924
문화예술,전시시설,경상북도 경주시,1.2769
문화예술,전시시설,경상북도 김천시,1.01738
문화예술,전시시설,경상북도 안동시,0.92801
문화예술,전시시설,경상북도 구미시,4.03213
문화예술,전시시설,경상북도 영주시,1.04679
문화예술,전시시설,경상북도 영천시,0.70536
문화예술,전시시설,경상북도 상주시,0.66639
문화예술,전시시설,경상북도 문경시,0.72475
문화예술,전시시설,경상북도 경산시,3.80178
문화예술,전시시설,경상북도 군위군,0.3321
문화예술,전시시설,경상북도 의성군,0.33007
문화예술,전시시설,경상북도 청송군,0.2777
문화예술,전시시설,경상북도 영양군,0.19133
문화예술,전시시설,경상북도 영덕군,0.43602
문화예술,전시시설,경상북도 청도군,0.45195
문화예술,전시시설,경상북도 고령군,0.69127
