"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),사진촬영,악기연주/노래교실,미술활동,글짓기/독서토론,문학행사참여,춤/무용,전통예술배우기,표본수,사진촬영,악기연주/노래교실,미술활동,글짓기/독서토론,문학행사참여,춤/무용,전통예술배우기,표본수,사진촬영,악기연주/노래교실,미술활동,글짓기/독서토론,문학행사참여,춤/무용,전통예술배우기,표본수,사진촬영,악기연주/노래교실,미술활동,글짓기/독서토론,문학행사참여,춤/무용,전통예술배우기,표본수,사진촬영,악기연주/노래교실,미술활동,글짓기/독서토론,문학행사참여,춤/무용,전통예술배우기,표본수,사진촬영,악기연주/노래교실,미술활동,글짓기/독서토론,문학행사참여,춤/무용,전통예술배우기
"가구소득별",200~300만원,14.6,8.7,3,2.1,2.3,0.9,1.5,1706,20.3,7.8,4.7,1.5,3.7,2,2.2,1613,19.9,5.5,2.9,1.5,1.9,1.6,1,1405,11.6,4.3,2.8,1.1,0.9,0.8,0.7,1421,6.7,3,2.8,0.6,0.5,0.5,0.7,1357,12.3,3.9,2.4,0.9,1,0.6,0.3
"가구소득별",300~400만원,19,4.7,2.7,2.2,2.3,0.7,1.6,2246,21.7,5.6,3.5,2.2,3,2,1.4,2184,23.8,6.2,5.1,2,2,2.2,1.3,1824,13.7,4.1,3.5,1.6,1.2,1.4,0.9,1896,8.3,2.9,3.4,1.4,0.8,0.8,0.3,1764,15.4,2.4,2.9,1.1,1.5,0.5,0.3
"가구소득별",400~500만원,17.4,6.8,3.9,3.1,3.4,0.7,1,2214,26.2,8.3,5.6,2.7,3.1,2.8,1.5,1785,24,6.2,5.8,2.6,1.9,1.9,1.6,1782,17.3,5,3.5,2.1,1,1.5,0.4,1611,11.3,3.2,2.3,1.3,0.5,0.7,0.2,1797,15.1,4,4.9,2.3,1.6,1.3,0.8
"가구소득별",500~600만원,18.1,4.4,2.9,2.1,2.9,0.5,0.9,1405,25.2,6.6,4,2.8,3,2.6,1.6,1394,25.2,6.5,5.9,2.1,2,2,1.1,1407,16.4,4.9,4.2,2.4,1.4,1.7,0.9,1380,10.4,3.2,2.3,1.6,0.5,0.8,0.1,1532,12.3,3,3.2,1.3,1.6,1.1,0.5
"가구소득별",600만원 이상,18.8,9.8,5.1,3.2,6,1.5,1.2,999,25,14.3,7.6,3.9,5,4.7,1.8,1216,24.6,6.9,7.8,2.9,3.6,3.6,1,1767,19.5,5.5,5.5,2.7,1.9,2.1,0.7,1730,11.7,3.9,2.9,1.3,1.2,1.1,0.6,1674,13.8,4.4,4.2,1.8,2.1,2.5,0.5
"지역규모별",대도시,20.6,6.4,3.5,2.8,3.3,0.8,0.9,4418,22.8,6.6,5.1,2.5,2.4,2.7,1.9,4235,24.8,5.4,4.6,2,1.6,2.3,1,4373,19.6,4.9,3.8,2.3,1.3,1.4,0.8,4330,11.4,2.9,2.7,1.2,0.6,0.8,0.4,4331,13,3.3,3.5,1.7,1.4,1.6,0.3
"지역규모별",중소도시,14,6.7,3.4,2.5,3.3,1,1.6,3524,21.6,10.8,5.5,2.8,4.6,3,1.8,3331,21.9,7,5.3,2.4,2.7,2.4,1.5,3776,12.6,4.3,3.4,1.8,1.3,1.6,0.6,3486,7.5,3.5,2.7,1.5,0.8,0.8,0.4,3459,13.6,3,3.5,1.5,1.6,1,0.7
"지역규모별",읍면지역,10.7,6.9,2.7,1.3,2.3,0.5,1.4,2556,21.7,7.2,3,1.4,1.7,1.3,1.8,2494,19,6.7,6.6,1.3,2.3,1.7,1.1,1939,8.4,5.6,4.3,1.3,0.9,1.4,1.3,2233,5.3,2.7,2,0.7,0.6,0.5,0.3,2256,11.6,5.2,3.1,0.7,1.5,0.7,0.5
"권역별",수도권,20,7,3.4,2.7,3.9,0.8,1.2,3182,18.1,11.3,6.5,2.9,4.1,3.7,2.2,3179,29.5,6.7,6.3,2.2,3,2.5,1.2,4895,16,4.4,3.9,2,1.2,1.7,0.7,3135,11.6,3.2,2.3,1.3,0.8,0.8,0.4,3107,11.7,2.4,2.6,1.2,0.9,1.1,0.5
"권역별",강원/제주권,16.1,11.2,5.5,3.8,6.5,2.1,2.9,786,22,9.6,8.4,6,8.2,3.4,1.7,765,17.6,6.2,3.5,2.2,1.3,1.2,0.9,440,20,3.7,2.4,2.6,1.5,0.7,1,777,7.3,2.1,3.3,1.4,1,0.9,0.2,772,6.4,3.5,2.3,1.1,0.6,2,0.7
