"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균
"종사자지위별",고용원이 있는 자영업자,0.7,3.1,13.1,26.9,33,19.2,3.9,4.62,326,1.5,2.4,10.4,28.9,33,20.3,3.5,4.64,248,1.9,8.9,21.4,28.1,28.5,7.5,3.8,4.1,337,2,4.5,9.3,23.8,34.9,23,2.5,4.6,395,1.1,4.6,12.3,30.4,33.7,15.2,2.7,4.5,357,0.9,8,15.9,30.9,27.2,15.1,2.1,4.3,356,0.6,4,6.9,27.7,37.8,21.3,1.7,4.7
"종사자지위별",고용원이 없는 자영업자,1.4,6.9,12.9,33.6,29.3,14.6,1.3,4.32,1540,0.9,6.7,14.3,29.1,30.7,16.6,1.8,4.39,1637,1,7.7,19.6,27.8,30.7,11.4,1.8,4.21,2006,1.4,5.4,14.2,31.1,31.8,14,2.1,4.4,1755,0.9,8.1,13.8,33.7,28.3,13.6,1.6,4.3,1805,1.4,8.2,17.2,34.8,28.8,8,1.6,4.1,1557,0.6,3,11.8,37.1,31.9,14.3,1.3,4.4
"종사자지위별",무급가족종사자,2.7,11.4,15.1,35.1,24,10.7,1,4.02,233,0,5.7,16.3,33.6,32.4,10.7,1.3,4.3,139,1.4,5.2,21.2,27.4,30.3,13,1.6,4.25,250,2.6,9.3,14.1,33.9,27.3,12,0.7,4.1,173,2.4,10.9,18.8,30.1,29,7.9,0.9,4,235,2.9,12.1,20.9,29.8,25,8.1,1.3,3.9,188,0.7,6.2,17.7,30.7,34.4,8.6,1.6,4.2
"종사자지위별",기타종사자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,-,18.7,11.6,26,24.9,17.7,1.1,4.1,59,2.4,3.6,20.7,28.8,23.1,21.4,-,4.3,40,2.8,5.6,12.1,32,19.2,26.9,1.4,4.5,53,1.3,1.1,10,24.6,39.2,20.1,3.9,4.8
"종사자지위별",해당없음(무직),0.9,4,10.4,29.8,32.7,19.5,2.7,4.59,4293,0.4,2.7,10,25.3,39.9,19.5,2.2,4.69,3857,0.9,5.5,14.4,27.6,36.9,12.9,1.8,4.4,3793,0.7,3.2,8.2,27.5,34.4,20.6,5.3,4.7,4044,0.8,3.8,10.2,27.6,35.1,19.8,2.7,4.6,3696,0.7,4.3,10.9,29,34.5,17.8,2.7,4.6,3757,0.8,2.7,6,30.8,38.9,18.3,2.4,4.7
"종사자지위별",임금.봉급 근로자,0.6,3,9.8,31.9,35.4,17.5,1.8,4.58,4210,0.6,3.2,12.2,28.4,37.1,16,2.5,4.56,4617,0.4,4.9,19,30.1,34.3,10.6,0.8,4.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득별",100만원 미만,2.5,8.9,13.6,35.1,23.6,14,2.4,4.2,861,0.6,3.1,14.2,24.2,36.8,18.6,2.4,4.59,921,2.2,8.2,12.1,28.1,33.7,14.2,1.5,4.31,939,1.2,3.9,8.2,32.9,28.7,18.3,6.9,4.7,980,1.1,7.2,9.4,36.4,30.1,13.6,2.2,4.4,999,1.3,5.7,12.8,34.3,32.2,11.9,1.7,4.3,1098,1.2,2.5,7.8,39.5,33.9,13,2.2,4.5
"가구소득별",100~200만원,2,5.2,10.7,36.1,28.7,14.6,2.7,4.39,1075,1.1,4.5,11,24.2,37.9,18.4,2.9,4.6,1007,0.8,5.9,15.5,25.5,35.2,16,1.1,4.41,929,1.3,4.7,11.5,27.1,33.7,18,3.7,4.6,923,0.9,4.8,12.1,34.4,30.1,15.6,2.1,4.4,1012,0.6,5.7,14,35.1,29.8,13.3,1.6,4.3,824,0.8,3.2,8.8,35,31.9,17.5,2.8,4.6
"가구소득별",200~300만원,0.5,5.7,12.3,30.2,31.4,18,1.8,4.48,1594,0.6,3.9,12.6,28.9,35.6,16.9,1.5,4.52,1706,0.7,7.2,16.4,25.9,36.5,11.8,1.7,4.32,1613,1.4,4.8,11.2,32,30.3,17.4,2.9,4.5,1405,1.2,5.6,13.3,34.4,30.7,13.2,1.8,4.3,1421,1.2,7.5,12.6,32.5,30.4,14.1,1.7,4.3,1357,0.9,3.8,8.1,32.9,35.9,15.6,2.7,4.6
"가구소득별",300~400만원,0.7,3.3,11.4,33.6,31.9,17.1,1.8,4.51,2437,0.5,4,12.3,29.3,34.7,17.4,1.9,4.54,2246,0.6,5.1,14.7,27.4,39.5,11.7,1,4.39,2184,1.1,4.6,11.3,29.2,34.4,15.1,4.2,4.5,1824,0.9,4.8,12.8,32.6,30.2,16.5,2.2,4.4,1896,0.7,5.5,13.7,32.7,31.2,13.8,2.3,4.4,1764,0.5,3.1,8.9,36,35.5,14.8,1.4,4.5
"가구소득별",400~500만원,0.6,3.3,10.8,27.1,37.4,19.4,1.3,4.61,2231,0.5,3.2,10.9,27.5,39.4,16.6,1.8,4.59,2214,0.7,5,18.5,30.6,32.8,11,1.4,4.28,1785,0.4,3.6,12,29.8,33.1,16.4,4.7,4.6,1782,0.7,5.1,11.7,29.5,34.2,17.3,1.5,4.5,1611,1,4.6,13.2,32.7,33.6,13.5,1.5,4.4,1797,0.5,2.6,8.5,32.5,38.6,15.6,1.7,4.6
"가구소득별",500~600만원,0.5,2.4,8.6,30.9,35.9,18.4,3.3,4.68,1356,0.5,3.5,10.7,27.6,38.4,17.7,1.6,4.59,1405,0.8,5.3,22.3,28.8,32.6,9.3,0.8,4.19,1394,0.9,3.2,8.4,25.7,40.2,19.4,2.3,4.7,1407,1,5.4,9.7,28.6,34.6,18.4,2.3,4.6,1380,0.5,4,11.7,30.6,34.7,16.9,1.6,4.5,1532,0.4,2.2,7.4,30.3,42.4,15.9,1.3,4.7
"가구소득별",600만원 이상,0.4,2.7,5.9,28.1,38,21.5,3.5,4.79,1048,0.7,2.4,11.3,24.6,37,19.1,4.9,4.72,999,0.4,5.4,17.9,32.1,30.6,11.2,2.6,4.31,1216,0.4,2.2,6.6,27,38.1,21.6,4.1,4.8,1767,1,3.8,9.7,25.2,36.6,20.6,3.2,4.7,1730,0.8,4,11,27.7,33.6,18.9,4.1,4.6,1674,0.5,1.8,6.4,28.3,41.3,19.4,2.4,4.8
"가구소득별",무응답,0,0,0,57.4,0,0,42.6,5.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지역규모별",대도시,0.8,4,10.6,30.8,33.5,18.2,2.2,4.56,4611,0.3,2.9,10,23,41.1,20.7,2,4.71,4418,0.6,4.2,15.3,28.4,37.6,12.6,1.4,4.41,4235,0.6,4.1,9.4,26.4,35.1,21.3,3.2,4.7,4373,0.7,4.3,10.4,27.3,35.3,19.3,2.5,4.6,4330,0.5,3.9,12.2,31,34.9,15.1,2.4,4.5,4331,0.7,2.6,7.3,30.8,38.1,18.3,2.2,4.7
"지역규모별",중소도시,1,3.3,9.8,32.1,34,17.6,2.3,4.57,3610,0.8,3.7,11.8,30.8,35.4,14.7,2.8,4.52,3524,0.5,7.1,19.4,29.7,31,10.8,1.4,4.22,3331,0.9,3.2,10.7,30.1,34.4,15.2,5.5,4.6,3776,1.1,5.4,11.5,30.8,33.3,15.9,1.9,4.5,3486,1.1,5.3,12.6,32.4,30.4,15.8,2.3,4.4,3459,0.5,2.3,7.7,31.8,41.5,14.8,1.5,4.6
"지역규모별",읍면지역,0.9,6.1,12.5,30.3,30.8,17.5,1.9,4.44,2381,0.8,4.5,15.1,30.7,31.2,15.8,1.9,4.42,2556,1.3,5.9,18.5,27.6,34.9,10.4,1.3,4.25,2494,1.3,4.2,10.2,31.7,34.6,15.2,2.7,4.5,1939,1,5.6,12.4,36.3,27.6,14.9,2.1,4.4,2233,1.1,7.4,13.5,32,31.1,13.3,1.6,4.3,2256,0.6,3.2,9.4,37.4,32.3,14.8,2.3,4.5
"권역별",수도권,0.6,3.6,10.3,31.8,34.5,17,2.2,4.56,3289,0.2,2.6,10,26.7,39,19.2,2.2,4.68,3182,0.8,6.5,21.6,31.2,30.3,8.5,1.1,4.14,3179,0.9,3.5,10,28.2,35.9,16.7,4.8,4.6,4895,1.1,5.2,11.9,29.7,32.5,17.2,2.4,4.5,3135,0.9,5.1,12.8,33.2,30.9,15.1,2.1,4.4,3107,0.8,3.2,9.1,31.2,38.1,15.8,1.8,4.6
