"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,종교활동,잡담/통화하기,사교모임,사회봉사활동,가족 방문,동호회모임,기타 여가활동,클럽/나이트,이성교제,표본수,종교활동,잡담/통화하기,사교모임,사회봉사활동,가족 방문,동호회모임,기타 여가활동,클럽/나이트,이성교제,표본수,종교활동,잡담/통화하기,친구만남,사교모임,사회봉사활동,가족 방문,기타 여가활동,이성교제,표본수,종교활동,잡담/통화하기,친구만남,사교모임,사회봉사활동,가족 방문,동호회모임,기타 여가활동,클럽/나이트,표본수,종교활동,잡담/통화하기,친구만남,사교모임,사회봉사활동,가족 방문,동호회모임,기타 여가활동,표본수,종교활동,잡담/통화하기,친구만남,사교모임,사회봉사활동,가족 방문,동호회모임,기타 여가활동,클럽/나이트
"종사자지위별",임금.봉급 근로자,2039,5.7,0.5,2.5,0.7,0,2.2,0.1,0,0.7,2427,4.9,0.9,0.9,0.3,0.2,1.9,0,0,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득별",100만원 미만,202,22.2,0.8,3.8,1.3,0,3.3,0.4,0,0,282,15.4,6.3,2.6,0.7,0.3,2.4,-,-,-,382,23.4,2.9,1.2,3.5,0.4,0.3,0.3,5.9,290,13,1.7,4.9,3.2,0.3,0.4,0.6,2.2,-,222,16.6,0.5,4.2,-,0.7,-,-,1.2,323,28.1,9.2,8.9,0.3,0.9,0.6,0.9,0.3,-
"가구소득별",100~200만원,348,13,0,3,1.1,0.2,2.6,0.7,0.3,0,417,17.3,2.4,3.8,0.5,0.1,4.5,0.1,0.5,0.3,424,18.4,2.3,0.4,3.6,1.5,0.4,0.1,4.4,299,15,1.4,1.4,2.5,0.9,0.7,1.4,0.7,-,265,14.8,-,1.4,0.8,0.5,-,0.6,0.4,288,11,11.6,6.1,0.8,0.9,2.1,0.1,-,-
"가구소득별",200~300만원,633,7.5,0.4,1.9,0.9,0,3.7,0,0,0.7,812,8.9,2.2,1.6,0.5,-,1.8,-,0.2,0.1,729,11.5,1.5,0.4,2.5,0.8,0.9,0.3,3,581,12.9,0.9,1.6,2.1,1.3,-,1.5,0.1,0.2,462,9.6,0.7,1,0.4,1.9,-,0.5,0.6,494,7.9,7,5.5,0.9,1.1,1.4,0.4,0.3,0.1
"가구소득별",300~400만원,1023,6.3,0.6,1.9,0.9,0.1,1.9,0,0,0.2,1066,6.3,2.5,2,0.7,0.3,1.8,0.1,-,0.3,973,7.1,1.4,1.3,1.8,1.1,0.1,-,2.4,806,5.6,1.5,1.5,0.8,1.4,0.2,1.4,0.4,-,628,6.8,0.5,0.4,0.4,0.9,-,0.7,1.4,686,6.1,9.8,2.9,1.2,0.7,0.7,1.1,0.4,0.1
"가구소득별",400~500만원,1091,5.5,0.5,3.1,0.5,0,1.4,0.3,0,0.5,1117,6.9,0.4,1.2,0.6,0,2.2,0,-,0.6,845,9.1,1.5,0.9,1.3,1.3,0.3,0.2,1.8,817,5.3,0.5,1.3,0.5,0.5,-,0.5,0.2,-,602,6.6,0.4,0.4,1.1,0.9,-,-,0.1,719,6.9,6.3,3.3,1.5,0.8,0.5,0.4,-,-
"가구소득별",500~600만원,714,6.5,0.4,3.8,0.7,0,1.8,0,0,0.7,718,5.1,0.4,0.8,0.4,0.1,1.2,-,-,0.1,738,7.1,1.4,0.1,1.4,1.1,0.1,-,1.4,681,4.2,0.8,1.9,0.3,0.9,-,0.9,0.6,-,579,3.7,0.7,1.1,-,0.9,0.1,0.3,0.3,613,6.2,4.2,2.5,0.4,0.1,0.2,0.4,0.1,-
"가구소득별",600만원 이상,610,4.6,0.3,1.6,1.1,0,2.7,0,0,0.7,601,5,0.6,0.2,0.5,-,1.5,0.1,-,0.4,720,6.2,1.3,1.6,0.9,0.6,0.4,0.1,1.4,927,3.6,0.9,0.9,0.6,0.5,-,0.5,0.2,-,782,3.7,0.4,0.6,0.4,0.7,-,0.5,0.3,803,4.5,3.6,2.1,0.4,1.2,0.2,0.4,-,-
"지역규모별",대도시,2205,5.9,0.3,2.3,0.4,0,2.5,0.1,0,0.5,2315,6.5,1.5,2.2,0.2,0.2,2.4,0,0.1,0.4,1959,10,1.1,0.7,1.7,0.9,0.3,0.1,1.7,1990,6,1.5,1.2,0.7,0.7,0,0.7,0.3,0,1629,6,0.5,0.6,0.1,1.3,-,0.3,0.1,1930,7.3,4.6,4.2,0.3,0.4,0.4,0.5,0.1,-
"지역규모별",중소도시,1556,6.6,0.7,2.5,1.2,0,1.8,0.1,0,0.5,1717,7.4,1,0.6,0.6,0,1.4,0.1,-,0.3,1640,8.7,2,1.1,1.2,0.6,0.3,0.1,2.8,1645,6.5,0.4,1.3,0.6,0.8,0.2,1.1,0.4,0,1260,4.9,0.6,1,0.9,0.3,0,0.4,0.6,1171,5.6,8.2,2.1,0.8,0.3,0.5,0.6,-,-
