"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,기타,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,기타,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,기타
"권역별",동남권,0,91.1,7.6,1.3,0.1,0,1896,83.8,13.9,2.1,0.1,0,1872,83.7,14.5,1.7,0.1,-,1781,81,18.2,0.7,0.1,-,1562,92.7,6.9,0.4,0.1,-,-,1762,93.5,5.9,0.5,0.1,-,-,1761,80.9,14.9,2.3,1.2,0.8,-
"17개 시도별",서울,0,78.8,17.8,2.8,0.6,0,1257,83.8,13.5,2.3,0.4,0,1220,80.7,15.4,3,0.7,0.3,1191,81.9,16.8,1,0.3,-,1931,58.6,26.7,7.1,4.8,2.7,0.1,1195,67.6,23.6,4.3,2,2.5,-,1164,51.4,30.4,8.6,5.4,4.2,-
"17개 시도별",부산,0,89.4,9.5,1,0.1,0,751,87.7,10.6,1.5,0.1,0,734,79.8,18.3,1.9,-,-,693,87.4,12.2,0.2,0.1,-,681,95,4.7,0.2,0.2,-,-,691,94,5.9,0.1,-,-,-,690,85,12.2,1.9,0.9,0.2,-
"17개 시도별",대구,0,93,6.1,0.7,0.1,0,633,92.1,6.2,1.8,0,0,638,97.6,2.4,-,-,-,584,84.8,13.6,1.1,0.3,0.1,490,81.7,13,3.3,1.6,0.4,-,580,88.5,8.9,1.9,0.5,0.2,-,580,63.2,20.2,7.4,5.4,3.8,-
"17개 시도별",인천,0,76.5,20.1,2.9,0.5,0,675,83,15.1,1.7,0.1,0.1,637,83.9,8.7,4.9,2.5,-,644,79.7,19.2,1.1,-,-,556,84.5,11.4,2.4,1,0.7,-,624,83.9,12.9,2.1,0.8,0.4,-,617,56.9,36.2,5.5,0.7,0.7,-
"17개 시도별",광주,0,93,6.8,0,0.3,0,492,93,7,0,0,0,475,97.6,2.4,-,-,-,451,83,16.6,0.5,-,-,294,60.7,26.9,9.7,1.8,0.9,-,452,74,19.3,5.1,0.9,0.7,-,447,64.2,27.1,5.7,2.2,0.8,-
"17개 시도별",대전,0,66.9,24.8,6.9,1.4,0,501,82.2,15.6,2,0.2,0,493,75.1,20.1,4.1,0.7,-,463,72.4,26.6,1.1,-,-,303,86.7,11.4,1.9,-,-,-,460,98.9,1.1,-,-,-,-,460,68,24.2,6.9,0.7,0.2,-
"17개 시도별",울산,0,96.8,2.9,0.3,0,0,426,80.4,17,2.5,0.1,0,425,75,23.7,1,0.2,-,406,75.1,23.6,1,-,0.3,221,92.1,6.4,1.5,-,-,-,390,97.7,2,0.3,-,-,-,393,72.4,19.6,5.6,0.3,2.2,-
"17개 시도별",세종,0,62.6,33.4,4,0,0,175,72.4,22,5.6,0,0,189,80.8,15.2,4,-,-,201,82.3,17.4,0.3,-,0,61,100,-,-,-,-,-,201,97.9,1.3,0.7,-,-,-,221,68.7,25.5,3.6,1.1,1,-
"17개 시도별",경기,0,75.8,20.5,2.5,1.1,0.2,1357,79.3,15.5,4.2,0.9,0.1,1325,82.4,14.7,2.2,0.8,-,1344,66.6,31,2.2,0.1,0.1,2408,61.5,25.6,7.8,3.1,1.9,0.2,1316,64,25.3,4.8,3.9,1.9,0.1,1326,56.8,29.7,9.1,2.9,1.5,-
"17개 시도별",강원,0,59.1,32,6,2,0.9,462,71.6,21.2,5.1,0.9,1.1,478,78,17.9,3,1,0.1,463,70.9,27.7,1.2,0.2,-,320,69.7,21.3,4.7,2.3,2.1,-,475,63.7,24.2,6.1,2.4,3.6,-,472,45,46.1,6.9,1.5,0.5,-
"17개 시도별",충북,0,78.5,18.7,2.2,0.6,0,512,85.2,11.8,2.9,0.1,0,501,69.6,28.4,1.7,0.3,-,475,75.3,24.7,-,-,-,321,92.2,7.3,0.4,0.1,-,-,480,99.2,0.8,-,-,-,-,482,58.6,31,8.2,1.8,0.3,-
"17개 시도별",충남,0,74.7,21.1,3.2,0.9,0,590,91.5,7.9,0.4,0.2,0,589,78.2,19.1,2.6,0.2,-,554,78.2,21.1,0.7,-,-,430,88.6,11.2,0.2,-,-,-,562,97.8,2.2,-,-,-,-,558,24.8,48,19.3,4.9,2.7,0.3
"17개 시도별",전북,0,94.1,5.6,0.3,0,0,551,96.5,3.5,0,0,0,560,99.6,0.4,-,-,-,496,87.8,11.1,1,-,0.1,375,65,22.6,3.4,4.5,4.6,-,511,79.4,14.3,4.3,1.7,0.3,-,523,57.9,37.1,4.3,0.6,0.1,-
"17개 시도별",전남,0,97.1,2.9,0,0,0,532,97.1,2.5,0.4,0,0,547,99.6,0.4,-,-,-,500,92,7.9,0.1,-,-,360,81.8,15.2,2.1,0.8,-,-,506,63.3,26.1,8.1,2.1,0.4,-,515,63.2,27.3,6.2,2.9,0.1,0.2
"17개 시도별",경북,0,85.4,12.5,1.3,0.7,0,669,89.9,9.5,0.6,0,0,666,95.9,3.8,0.3,-,-,611,78.1,19.7,1.5,0.7,-,557,83.4,14.8,1.2,0.1,0.5,-,623,94.3,5,0.6,-,-,-,620,71.2,17.9,4.9,3,3.1,-
"17개 시도별",경남,0,91,7,2,0.1,0,719,80.8,16.3,2.7,0.2,0,713,90.8,7.2,1.8,0.2,-,682,76.3,22.5,1.2,-,-,660,90.5,9.3,0.2,-,-,-,681,91.6,7.3,1.1,0.1,-,-,678,79.5,16,1.6,1.8,1.1,-
"17개 시도별",제주,0,71.4,21.8,6.5,0.3,0,300,81.7,16.1,1.9,0.3,0,308,60,33.9,4.9,1.2,-,302,85.9,10.9,3.2,-,-,120,89.5,9.3,1.2,-,-,-,302,96,3.7,0.3,-,-,-,300,85.1,13.3,1.6,-,-,-
"장애여부별",장애등록,0,0,0,0,0,0,-,-,-,-,-,-,124,82.1,16.7,1.3,-,-,151,90.2,9.8,-,-,-,225,77.9,19.8,1.3,1,-,-,218,90.5,6.6,1.9,0.3,0.7,-,151,80.7,14.1,3.6,1.5,-,-
"장애여부별",미등록,0,0,0,0,0,0,-,-,-,-,-,-,160,85.1,10.6,2.6,1.7,-,55,73.8,26.2,-,-,-,233,84.5,12.5,1,1,1,-,110,88.5,10.3,1.2,-,-,-,58,53.1,41.2,2.1,3.5,-,-
"장애여부별",해당사항없음,0,0,0,0,0,0,-,-,-,-,-,-,10214,84.2,13.1,2.1,0.5,0.1,9854,77.2,21.3,1.3,0.2,0,9630,73.2,18.6,4.6,2.2,1.3,0.1,9721,77.5,16.4,3.2,1.7,1.1,0,9837,59.8,28,7.4,2.9,1.9,-
"근무 형태",전일제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4189,57.2,29.9,8.2,2.8,2,-
"근무 형태",교대제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,287,62.5,26.8,6.4,2.2,2.1,-
"근무 형태",시간 선택제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,394,59.3,26.4,10.2,2.1,1.9,-
"근무 형태",해당 없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1419,58,27.3,8.4,5.1,1.2,-
"유연 근무제 여부",시행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,528,41.2,34.1,13.9,7.2,3.4,0.2
