"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타
"가구소득별",500~600만원,133,56.8,28.2,5.3,4.7,1.8,3.2,0,584,60.2,27.8,3.5,1.9,5.1,1.6,0,757,59.6,28.5,3.7,3.6,3.3,1.4,-,537,62.7,24.5,3.8,2.6,5,1.3,0.2,626,61.4,25.2,6.2,2,2,1.5,1.7,637,56.2,22.4,7.8,2.8,3,2.8,5,626,54.5,26.9,5.5,4.3,5.3,3.2,0.3
"가구소득별",600만원 이상,65,58.9,26.4,0.8,4.2,5.6,4.1,0,438,68,21.3,3.1,2.4,4.6,0.5,0,529,62.5,22.3,5.6,4.2,2.8,2.5,0.1,418,63,20.9,4.6,5.1,1.5,4.1,0.8,701,62.9,22.7,4.8,2.6,2.3,1.4,3.3,743,67.4,15.8,6.4,1.6,1.4,2.7,4.7,617,54.9,25.5,6.3,3.8,5.2,3.7,0.6
"가구소득별",무응답,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지역규모별",대도시,659,50.2,38.1,4.4,3.6,1.8,1.9,0,1793,53.6,34.5,4.1,3.2,2.2,2.3,0,2065,52,31.9,4.7,4.4,2.2,4.5,0.4,1693,51.1,30.1,6.5,4.6,2.4,3.9,1.5,1914,50.1,32.2,5.8,4,2.1,2.7,3.1,2092,47.4,30.1,8.4,3.2,2.6,4.5,3.8,1820,44.1,31.4,7,5.3,5.7,5,1.4
"지역규모별",중소도시,539,44.7,41.2,5.4,3.7,2.3,2.7,0,1748,53.9,31.2,6.2,3.4,3.9,1.5,0,1808,51.1,29.5,5.7,6.3,4.1,3,0.3,1465,52.8,28.9,4.2,5,4.4,3.8,0.8,1873,55,28,6,2.5,2.2,4,2.3,1703,49.8,30.3,6.2,3,1.9,4.4,4.5,1404,42,34.7,6.9,6.3,5,4,1.1
"지역규모별",읍면지역,399,40,43.9,4.4,3.7,4.7,3.3,0,1184,43.3,31.1,7.4,6.3,7.9,3.9,0,1401,50.5,26.7,5.6,6.1,6.2,4.4,0.5,1235,48.8,27,5.3,8.6,3.9,4.7,1.7,1081,40.3,36,4.5,8.1,4.7,4.1,2.3,1169,44.9,20,8.1,9,8,5.7,4.3,1124,34,36,9.2,8.6,5.8,5.1,1.3
"권역별",수도권,461,41.5,44.3,6.5,3.7,1.5,2.6,0,1318,56.1,32.8,3.6,2.4,3.2,1.9,0,1865,52.2,29.4,5.8,5.8,2.9,3.6,0.2,1366,53.3,31,3.8,5.5,2.2,3.4,0.9,2370,52.2,29.1,6.3,4.3,2,3.2,2.9,1623,47.6,30,8,3.8,2.3,5.1,3.1,1376,39.8,36.2,8.3,5.4,5.1,4,1.2
"권역별",강원/제주권,205,43.1,38.6,2.5,6.1,4.4,5.3,0,444,44.5,33,9.8,4.5,5.5,2.8,0,494,43.9,29.6,7.1,6.2,7.6,4.1,1.4,389,35.6,38.6,5.9,7.2,5.8,5.1,1.8,261,37,28.7,7.7,12.9,2.6,9.9,1.2,340,43.4,21.4,5.4,11.4,2.5,4.8,11,349,41.3,25.7,6.4,10.7,5.9,7.7,2.3
"권역별",충청/세종권,137,38.9,43.8,4.4,2.8,6.2,4,0,826,42.1,33.4,8.4,5.5,7.7,2.9,0,944,53.6,23.2,3.9,9.2,6.4,3.4,0.3,576,58.5,20.5,7.2,5.5,4.4,3.7,0.3,583,60.3,27.2,1.1,3.5,2.5,3.3,2.1,826,50.4,23.1,3.4,6.3,3,6.8,6.9,786,51,22.1,9.6,6.7,5.6,4.7,0.4
"권역별",호남권,317,32.3,56.6,4,3.5,2.3,1.3,0,730,45.8,35.9,6.9,3.2,5.9,2.3,0,759,49.2,33.5,3.9,5.1,3.8,3.2,1.2,714,48.7,28.8,5.8,6.5,4.1,4,2.1,466,45.3,33.8,5.8,5.9,3.1,4.5,1.6,652,53.1,23,6.7,6.1,4.8,4,2.2,695,40.7,34.2,4.5,9.1,3.2,6.3,1.9
"권역별",대경권,223,67.8,20.7,3.3,2.9,2.6,2.7,0,677,57.3,24.9,7.8,3.9,3.4,2.8,0,568,56,29,6.5,1.9,3.8,2.7,-,612,49.5,26.9,8.8,5.4,3.3,4.7,1.4,481,49,33.1,4.8,2,4.7,2.2,4.2,680,46.3,28.1,7.8,3.5,7.6,4.4,2.2,452,42.5,31.5,7.5,6.9,7.3,3.4,0.9
"권역별",동남권,254,59.5,29.5,2.8,3.6,3.8,0.8,0,730,46.7,34,5.7,8.2,2.8,2.5,0,644,45.5,38.1,3,2.7,3.2,7.3,0.2,736,48.1,26,6,5.3,6.2,5.9,2.4,707,40.9,41.5,6.4,2.4,4.2,2.5,2.1,843,45.9,29.7,9.2,1.9,4.3,2.4,6.6,690,37.2,37.5,5.1,6.2,7.2,5.1,1.6
"17개 시도별",서울,186,46,40.8,4.9,4.3,1.1,2.9,0,353,60.9,30.3,2.7,2.1,0.8,3.2,0,669,55.5,27.1,4.9,5.5,1.5,4.9,0.6,458,50.4,30.3,5.1,6.9,2.1,3.9,1.3,803,51.1,27,7.1,6.5,1.7,2.9,3.7,557,49.1,27.9,9.2,3.2,2.1,5.7,2.8,501,42.1,29.1,10.1,6.2,6.8,4.5,1.3
"17개 시도별",부산,118,59.8,28.8,4.5,2.8,3.3,0.7,0,301,46.4,37.8,4.4,6.9,2.4,2.3,0,232,38.1,42.7,3.1,2.8,2.5,10.9,-,241,51.2,32.2,6.6,2.8,2.2,2.1,3,280,47.7,32.4,8.9,1.7,5.3,3.3,0.7,309,46.1,32.2,8.2,2,2.6,1.8,7.1,280,35.1,34.1,5.7,4.1,10.9,7.4,2.7
