"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균
"17개 시도별",광주,115,9.9,16.8,18.8,21.9,32.5,52.6,91,12.6,10.7,15.6,17.2,43.9,55.7,125,7.6,14,11.6,21.8,45,59,115,2.1,16.6,23.5,15.1,42.7,84.5,186,4.3,9.7,12.5,21.4,52,89.2,135,3.4,7.2,7.1,14.3,68.1,127
"17개 시도별",대전,260,12.7,18,20,19.2,30.1,51.6,261,14.5,14.1,13.4,25.5,32.6,57,238,5.9,10.7,11.3,26.3,45.9,60.7,89,6.5,13.4,14.6,15.3,50.2,77.9,115,1.8,10.8,5.1,18,64.2,96.3,178,4.5,7.3,7,8.4,72.8,124.2
"17개 시도별",울산,152,11.4,16,14.2,7.4,51,75.3,206,11.4,21.2,15.1,20.9,31.4,56.9,192,3.5,11.8,14,25.8,44.9,63.1,117,6.2,7.6,10.2,12.6,63.3,108.6,158,5.1,13.7,10,14.9,56.4,71.9,232,6.4,8.5,9.7,20.1,55.2,84.7
"17개 시도별",세종,63,9,18.2,22,26.2,24.5,48.6,91,10.9,19.8,27.9,23,18.4,39.6,109,4.2,15.5,14.9,25.7,39.7,56.2,21,11.6,25.6,8.9,12.1,41.8,85.8,43,14.8,13.6,3.1,17.2,51.3,76.7,71,0.9,8.4,4,10.1,76.7,121.6
"17개 시도별",경기,681,9.6,15.5,13.8,22.1,39,68,748,10.9,18.8,15.4,21.7,33.3,62.6,681,3.6,15.7,12.2,20.6,47.9,68,979,6.1,12.8,11.2,18.8,51.1,85.4,493,4.5,12,12.9,20,50.6,79,430,5.2,10.2,10,17.7,56.9,102.3
"17개 시도별",강원,166,9,9.9,8.2,12.2,60.7,108,200,11.9,21.5,13.9,13.9,38.8,71.3,267,1.4,16.6,10.1,16.6,55.4,75.3,93,1.3,6.9,13.6,13.3,64.9,92.5,144,3.9,15.4,5.8,16.5,58.4,112.1,222,4.8,8.2,7.3,8.7,71,139.1
"17개 시도별",충북,238,10.3,17,20.3,16,36.5,68.4,274,13.4,21.3,19.5,20.9,24.8,57.5,288,1.3,13.3,14.2,30.1,41.1,61.7,126,8.5,13.3,16.2,13.9,48.1,83.6,109,5.6,12.1,10.9,15.5,55.9,79.2,175,3.4,12.3,8.4,11,64.9,106.9
"17개 시도별",충남,296,13.6,23.5,23.5,12.4,27,46.1,257,17,14.6,14.9,22.9,30.6,75.5,165,3.6,17.8,10.5,24.2,44,62.6,142,5.6,6.7,8.7,12.5,66.5,117.7,141,1.2,6.8,11.1,16.1,64.7,105.7,91,5,22.9,6.5,10.4,55.3,134.5
"17개 시도별",전북,130,11.5,18.9,10.7,19,39.9,60,99,9.9,19.2,18.4,21,31.6,49.6,264,4.8,11.9,9.7,26.8,46.9,63.2,139,4,12.6,10.2,17.7,55.5,91.9,154,15.9,12.9,13.1,11.6,46.5,94.9,97,2.4,9.6,9.2,17.1,61.7,149.5
"17개 시도별",전남,79,11.6,6.4,12.7,23.2,46.2,63.7,87,2,7.6,10.4,22.9,57.2,97.6,225,4.8,17.2,8.7,17.7,51.6,76.9,151,3.2,12.8,10.6,20,53.4,131.3,166,1,5.7,9.4,14.4,69.5,127.4,217,2.8,5.9,7.3,17.6,66.4,127
"17개 시도별",경북,277,9,9.3,10.2,21.4,50.2,78.5,283,4.4,19.1,15.5,26.2,34.9,68.9,212,6.7,15,11.6,15.6,51.1,67.8,296,2.3,9.9,15.5,23.6,48.8,89.3,240,2.8,10.5,20.4,28.5,37.9,71.8,262,2.8,6.9,12.3,28.1,50,77.8
"17개 시도별",경남,294,6.2,15.7,19.3,20.5,38.3,66.3,399,9.3,18.2,17.3,22.7,32.3,54.6,417,2.7,13.4,11.6,16,56.3,80.9,376,2,9.9,15.4,14.5,58.2,96.1,214,3.3,11.4,13.3,18.2,53.8,109,285,6.7,10.2,11.2,12.5,59.3,105.5
"17개 시도별",제주,163,8.2,11.6,12.3,8,59.9,105.5,174,5,7.2,12.4,8.3,67.1,126.9,105,15.3,22.3,26,16.5,19.8,39,50,2.8,8.1,28.8,26.4,33.9,54.3,213,-,7,15.7,26,51.4,76.3,120,9.3,22.6,7.1,16.6,44.4,70.5
"장애여부별",장애등록,-,-,-,-,-,-,-,54,10.4,5.1,14.2,6.8,63.4,132.3,65,3.6,10.6,4.5,13.6,67.6,104.6,79,3.5,3,4,8.5,81,204.1,53,-,10.3,1,10,78.7,171.9,38,-,6.9,3.5,-,89.6,229.8
"장애여부별",미등록,-,-,-,-,-,-,-,53,8.9,6.3,18.3,16.6,49.9,73.1,20,-,3.2,1,47.2,48.6,111.3,71,6.4,21.4,12.7,17.7,41.7,78.9,52,7.5,8.2,17,20.4,46.8,84.6,35,2.1,9.5,7.4,26.5,54.6,111.8
"장애여부별",해당사항없음,-,-,-,-,-,-,-,4906,9.2,16.3,15.1,22.8,36.6,64.7,4726,3.6,14.6,12.6,19.7,49.6,68.8,4258,4.2,10.7,12.2,17.2,55.7,96.5,3435,5.2,10.9,12.5,19.6,51.8,87.5,3853,4.2,9.6,10.1,16.3,59.8,103.8
"근무 형태",전일제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1720,3.6,8.9,10.5,17,59.9,95.8
"근무 형태",교대제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123,4.2,3.7,15.8,20.5,55.9,91
"근무 형태",시간 선택제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170,6,16.3,9.2,14.3,54.3,101.5
"근무 형태",해당 없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,527,3,5.3,6.9,17,67.8,129.6
"유연 근무제 여부",시행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,219,3.3,15.1,13.7,18,49.9,80.6
"유연 근무제 여부",미시행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1233,3.8,8.6,10.5,16.4,60.6,97.9
"유연 근무제 여부",해당 없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1088,3.6,6.4,8.2,17.5,64.3,114.4
