"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,모름/무응답,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,모름/무응답,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균
"종사자지위별",고용원이 있는 자영업자,-,0.6,1,3.2,8.4,19.1,42.6,24.9,0,5.72,326,-,0.4,2,9.4,23.5,37.9,26.9,-,5.77,248,-,0.1,1,18.2,24.2,32,24.5,5.61,337,-,1.2,3.6,20.8,37.2,24.2,13,5.2,395,0.2,0.3,2.9,17.8,27.2,27.4,24.2,5.5,357,0.5,0.3,0.9,8.6,27.5,37.9,24.4,5.7,356,0.2,0.9,5.3,19,29.6,30,15,5.3
"종사자지위별",고용원이 없는 자영업자,-,0,0.2,1.9,6.9,19.8,40.1,30.9,0.1,5.9,1540,0.5,0.3,2.4,9.5,21.5,37.9,28,-,5.77,1637,-,0.3,1.6,9.5,25.1,37.7,25.7,5.75,2006,0.1,0.3,4.4,21.2,31.8,29.3,12.8,5.2,1755,0.2,0.5,1.9,15.7,24.8,35.5,21.5,5.6,1805,0.2,0.1,0.9,9,25.2,37,27.7,5.8,1557,0.2,0.3,2,18.3,28.2,32.3,18.7,5.5
"종사자지위별",무급가족종사자,-,0.4,0.4,1.9,8.1,22.5,36.4,30.5,0,5.83,233,-,0.6,0.8,10.9,23.5,33.1,31.2,-,5.81,139,-,0.6,2.3,7.9,28.1,31.6,29.5,5.76,250,-,1.1,6.5,20.9,24.6,26.7,20.2,5.3,173,-,-,2.8,14.4,22.9,36.1,23.7,5.6,235,-,-,0.3,12.8,21.9,39.5,25.4,5.8,188,0.3,-,2.3,16,32.9,28.8,19.7,5.5
"종사자지위별",기타종사자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,-,-,11.6,18.3,23.5,21.8,24.7,5.3,59,-,1.3,-,6.7,19.7,28.1,44.2,6.1,40,-,1.4,1.2,22.5,29.4,24.4,21.2,5.4,53,-,-,4.7,12,37.3,24.2,21.8,5.5
"종사자지위별",해당없음(무직),-,0.1,0.2,1.2,7.6,22.2,37.7,31.1,0,5.89,4293,0.3,0.4,1.3,8.9,26.1,37.8,25.3,-,5.74,3857,0,0.3,2.4,11,28,34.5,23.9,5.66,3793,0.1,0.5,2.8,20.7,29.5,29.5,16.9,5.3,4044,0.2,0.4,1.7,14.5,24.8,33.5,25,5.6,3696,0.2,0.4,2.3,12.5,24.2,34.9,25.4,5.7,3757,0.1,0.5,3,19.9,29,29,18.4,5.4
"종사자지위별",임금.봉급 근로자,-,0.1,0.2,1.4,9.2,22.6,39.1,27.5,0,5.81,4210,0.1,0.5,2,9.1,25.2,38.2,24.9,-,5.73,4617,0.1,0.5,2,10.8,30.2,35.7,20.7,5.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득별",100만원 미만,-,0,0.6,1.3,9.5,20.5,34.9,33.2,0,5.87,861,0.2,0.3,2.2,11,26.1,27,33.2,-,5.76,921,0.1,0.4,2.1,11,24.7,33.1,28.6,5.74,939,0.7,0.9,5,22.4,27.6,24.6,18.8,5.2,980,-,1,2.6,15,21.2,30.9,29.3,5.7,999,0.2,0.3,1,14.2,21.2,32.1,31.1,5.8,1098,-,0.5,2.6,27.2,22.4,25.1,22.2,5.4
"가구소득별",100~200만원,-,0.2,0.6,2.3,8.2,19.9,36.6,32.2,0,5.86,1075,0.2,0,1.7,9.6,26.3,34.5,27.7,-,5.76,1007,0.1,-,2.2,10.6,23.5,33.9,29.7,5.78,929,0.2,0.6,4.2,23.9,26.3,29.1,15.7,5.3,923,0.1,0.4,1.7,13.7,23.9,35.5,24.8,5.7,1012,0.1,0.6,1.7,12,21.7,31.9,32.1,5.8,824,0.2,0.4,2.9,13.8,28,30.1,24.6,5.6
"가구소득별",200~300만원,-,0.1,0.4,1.5,8.2,19.8,41.4,28.6,0,5.86,1594,0.4,0.4,2.6,10.6,24.2,36.3,25.6,-,5.69,1706,-,0.2,2.2,11.4,28.5,34.9,22.6,5.64,1613,0.1,0.6,3.8,22.4,28.6,26.9,17.5,5.3,1405,0.1,0.2,2.7,14.8,25.3,31.5,25.3,5.6,1421,0.2,1.1,1.1,12.3,23.5,35.4,26.4,5.7,1357,0.2,0.1,2.2,19.2,29.1,28.6,20.7,5.5
"가구소득별",300~400만원,-,0.1,0.1,1.5,7.2,24.7,37.7,28.7,0,5.84,2437,0.1,0.4,1.7,9.4,26.3,37.7,24.4,-,5.72,2246,0,0.3,1.8,11.3,26.6,39,21,5.65,2184,0,0.5,3.2,23.5,29.8,27.7,15.3,5.3,1824,0.2,0.3,1.9,15.7,25.1,34.5,22.2,5.6,1896,0.2,0.5,2.7,12.4,25.6,33.1,25.4,5.6,1764,0.1,0.4,3.4,18.8,28.3,31.9,17.1,5.4
"가구소득별",400~500만원,-,0,0.1,1.1,9.1,21,38.5,30.2,0,5.87,2231,0.1,0.7,1.6,8.8,24.6,40,24.1,-,5.73,2214,-,0.3,2.3,10.3,29.4,33,24.5,5.66,1785,-,0.4,2,19.4,32.4,30.1,15.7,5.4,1782,-,0.4,1.6,14.2,25.4,33.2,25.2,5.7,1611,0.3,0.4,1.5,12.1,24.2,37.4,24.2,5.7,1797,0.1,0.2,2.5,21,31.5,28.8,15.8,5.3
"가구소득별",500~600만원,-,0.1,0,1.6,8.4,21.3,39.8,28.9,0,5.86,1356,0.3,0.1,1.6,7,23.6,41.8,25.7,-,5.82,1405,0.1,0.4,1.7,9.4,30.5,35,23,5.67,1394,-,0,3.4,16.8,34.2,31.7,13.8,5.4,1407,0.1,0,1.9,13,25,37.2,22.9,5.7,1380,0.3,0.4,2.5,11.1,24.4,37.9,23.4,5.7,1532,0.2,0.5,2.4,19,32,28.8,17,5.4
"가구소득별",600만원 이상,-,0.1,0.5,1.2,7.2,24.2,40.9,25.9,0,5.81,1048,0.5,0.4,1.1,9.4,24.9,37,26.7,-,5.76,999,-,1.1,2.3,12.4,31.2,36.4,16.6,5.49,1216,-,0.8,3.1,20,29,30.9,16.1,5.3,1767,0.5,0.7,1.5,15.2,23.8,32.5,25.8,5.6,1730,0.4,0.7,1.7,10.7,23.6,37.7,25.2,5.7,1674,0.2,0.7,3.3,15.5,29.4,31,19.9,5.5
"가구소득별",무응답,-,0,0,0,12.8,0,57.4,29.8,0,6.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지역규모별",대도시,-,0,0.2,1.2,7,22.3,39.2,30,0,5.89,4611,0.2,0.4,1.1,6.5,24.2,42.2,25.4,-,5.83,4418,0,0.5,1.2,7.9,28.1,38.6,23.6,5.74,4235,0.1,0.7,3.3,19.3,32.6,31.5,12.5,5.3,4373,0.4,0.3,1.7,15.5,24.4,33.2,24.5,5.6,4330,0.5,0.7,2.3,10.4,25.1,36.2,24.8,5.7,4331,0.2,0.4,2.3,15,29.8,33.4,18.9,5.5
"지역규모별",중소도시,-,0.1,0.2,1.4,9.8,22,38.5,27.9,0,5.81,3610,0.3,0.4,2.5,11.9,26,34.9,23.9,-,5.63,3524,0,0.3,2.5,12.9,28.4,34.1,21.8,5.59,3331,0.1,0.3,3,19.6,27.6,28.5,21,5.4,3776,0,0.6,1.8,13.6,24.5,33.4,26,5.7,3486,0.1,0.6,1.9,14.3,23.3,34.3,25.6,5.7,3459,0.2,0.4,3.3,21.8,30.3,26.7,17.4,5.3
"지역규모별",읍면지역,-,0.2,0.3,2.1,7.9,20.8,37.6,30.9,0,5.86,2381,0.2,0.4,1.7,9.6,24.7,33.6,29.8,-,5.78,2556,0,0.4,3.2,13.4,29.5,30.7,22.9,5.56,2494,0.1,0.4,3.8,26.2,30.9,25.2,13.2,5.2,1939,0,0.2,2.2,14.4,24.8,35.7,22.6,5.6,2233,0.1,0.1,0.8,10.6,22.2,36.7,29.5,5.8,2256,0.1,0.6,3.1,21.4,27.2,27.2,20.4,5.4
"권역별",수도권,-,0,0.1,1.3,8.3,25.5,42.3,22.4,0,5.76,3289,0.4,0.3,1.1,8.9,26.5,38.8,24,-,5.74,3182,0,0.4,2.3,11.3,33.3,34.2,18.5,5.54,3179,0.1,0.4,3.5,18.4,30.7,32.6,14.4,5.3,4895,0.4,0.4,1.9,15,23.6,33.7,25,5.6,3135,0.5,1,2.8,15.3,25.3,32.5,22.6,5.5,3107,0.2,0.5,3.1,18.2,31,28.2,18.8,5.4
"권역별",강원/제주권,-,0.9,2.2,2.1,16.7,17.6,26.9,33.6,0,5.63,762,0.3,0.9,5.5,23.7,19.3,20.6,29.7,-,5.41,786,0.1,0.9,2.3,25.4,20.2,20.7,30.2,5.48,765,-,0.5,4.1,28.7,34.5,20.7,11.6,5.1,440,-,0.2,0.6,20.8,25.1,33.4,19.9,5.5,777,0.1,0.2,0.8,9.9,27.9,40.6,20.5,5.7,772,-,0.2,1.7,32.1,23.1,25.2,17.8,5.2
